3053434	Dunavarsany	47.278591	19.066170	HU
716671	Ozd	48.216671	20.299999	HU
716946	Nyirbeltek	47.700001	22.133329	HU
722650	Balkany	47.770660	21.863140	HU
717853	Mandok	48.321491	22.191071	HU
714490	Tuzser	48.344070	22.117620	HU
714073	Veszto	46.916672	21.266670	HU
720494	Gonc	48.466671	21.283331	HU
717693	Merk	47.788239	22.380381	HU
716909	Nyirlugos	47.693150	22.044760	HU
